tool,timeout,benchmark,run_number,cut,tests,failing,instructions_total,instructions_covered,instructions_coverage_ratio,lines_total,lines_covered,lines_coverage_ratio,branches_total,branches_covered,branches_coverage_ratio,complexity_total,complexity_covered,complexity_coverage_ratio
evosuite-mo,120,FASTJSON-17,1,com.alibaba.fastjson.serializer.ClobSeriliazer,7,1,68,68,100.0,24,24,100.0,4,4,100.0,5,5,100.0
evosuite-mo,120,FASTJSON-17,2,com.alibaba.fastjson.serializer.ClobSeriliazer,7,1,68,68,100.0,24,24,100.0,4,4,100.0,5,5,100.0
evosuite-mo,120,FASTJSON-17,3,com.alibaba.fastjson.serializer.ClobSeriliazer,7,1,68,68,100.0,24,24,100.0,4,4,100.0,5,5,100.0
evosuite-mo,120,FASTJSON-15,1,com.alibaba.fastjson.util.IOUtils,78,1,3460,3037,87.77,391,320,81.84,270,187,69.26,155,100,64.52
evosuite-mo,120,FASTJSON-15,2,com.alibaba.fastjson.util.IOUtils,78,1,3460,3037,87.77,391,320,81.84,270,187,69.26,155,100,64.52
evosuite-mo,120,FASTJSON-15,3,com.alibaba.fastjson.util.IOUtils,78,1,3460,3037,87.77,391,320,81.84,270,187,69.26,155,100,64.52
evosuite-mo,120,FASTJSON-59,1,com.alibaba.fastjson.asm.Type,64,1,403,403,100.0,93,93,100.0,62,62,100.0,50,50,100.0
evosuite-mo,120,FASTJSON-59,2,com.alibaba.fastjson.asm.Type,64,1,403,403,100.0,93,93,100.0,62,62,100.0,50,50,100.0
evosuite-mo,120,FASTJSON-59,3,com.alibaba.fastjson.asm.Type,64,1,403,403,100.0,93,93,100.0,62,62,100.0,50,50,100.0
evosuite-mo,120,GUAVA-71,1,com.google.common.collect.SparseImmutableTable,2,1,323,84,26.01,63,22,34.92,14,5,35.71,15,2,13.33
evosuite-mo,120,GUAVA-71,2,com.google.common.collect.SparseImmutableTable,2,1,323,84,26.01,63,22,34.92,14,5,35.71,15,2,13.33
evosuite-mo,120,GUAVA-71,3,com.google.common.collect.SparseImmutableTable,2,1,323,84,26.01,63,22,34.92,14,5,35.71,15,2,13.33
evosuite-mo,120,FASTJSON-50,1,com.alibaba.fastjson.parser.DefaultJSONParser,130,1,3921,1316,33.56,947,290,30.62,570,129,22.63,361,101,27.98
evosuite-mo,120,FASTJSON-50,2,com.alibaba.fastjson.parser.DefaultJSONParser,130,1,3921,1316,33.56,947,290,30.62,570,129,22.63,361,101,27.98
evosuite-mo,120,FASTJSON-50,3,com.alibaba.fastjson.parser.DefaultJSONParser,130,1,3921,1316,33.56,947,290,30.62,570,129,22.63,361,101,27.98
evosuite-mo,120,FASTJSON-93,1,com.alibaba.fastjson.asm.ByteVector,32,1,329,317,96.35,73,71,97.26,24,22,91.67,22,20,90.91
evosuite-mo,120,FASTJSON-93,2,com.alibaba.fastjson.asm.ByteVector,32,1,329,317,96.35,73,71,97.26,24,22,91.67,22,20,90.91
evosuite-mo,120,FASTJSON-93,3,com.alibaba.fastjson.asm.ByteVector,32,1,329,317,96.35,73,71,97.26,24,22,91.67,22,20,90.91
evosuite-mo,120,FASTJSON-104,1,com.alibaba.fastjson.support.spring.FastJsonHttpMessageConverter,1,2,310,7,2.26,82,1,1.22,20,0,0.0,33,1,3.03
evosuite-mo,120,FASTJSON-104,2,com.alibaba.fastjson.support.spring.FastJsonHttpMessageConverter,1,2,310,7,2.26,82,1,1.22,20,0,0.0,33,1,3.03
evosuite-mo,120,FASTJSON-104,3,com.alibaba.fastjson.support.spring.FastJsonHttpMessageConverter,1,2,310,7,2.26,82,1,1.22,20,0,0.0,33,1,3.03
evosuite-mo,120,FASTJSON-105,1,com.alibaba.fastjson.JSONReader,71,1,520,425,81.73,157,144,91.72,63,49,77.78,67,56,83.58
evosuite-mo,120,FASTJSON-105,2,com.alibaba.fastjson.JSONReader,71,1,520,425,81.73,157,144,91.72,63,49,77.78,67,56,83.58
evosuite-mo,120,FASTJSON-105,3,com.alibaba.fastjson.JSONReader,71,1,520,425,81.73,157,144,91.72,63,49,77.78,67,56,83.58
evosuite-mo,120,GUAVA-78,1,com.google.common.collect.Queues,0,0,264,0,0.0,75,0,0.0,26,0,0.0,33,0,0.0
evosuite-mo,120,GUAVA-78,2,com.google.common.collect.Queues,0,0,264,0,0.0,75,0,0.0,26,0,0.0,33,0,0.0
evosuite-mo,120,GUAVA-78,3,com.google.common.collect.Queues,0,0,264,0,0.0,75,0,0.0,26,0,0.0,33,0,0.0
evosuite-mo,120,SPOON-11,1,spoon.reflect.factory.TypeFactory,15,1,1027,399,38.85,217,81,37.33,70,15,21.43,87,25,28.74
evosuite-mo,120,SPOON-11,2,spoon.reflect.factory.TypeFactory,15,1,1027,399,38.85,217,81,37.33,70,15,21.43,87,25,28.74
evosuite-mo,120,SPOON-11,3,spoon.reflect.factory.TypeFactory,15,1,1027,399,38.85,217,81,37.33,70,15,21.43,87,25,28.74
evosuite-mo,120,SPOON-13,1,spoon.support.reflect.code.CtForImpl,0,0,255,0,0.0,58,0,0.0,26,0,0.0,26,0,0.0
evosuite-mo,120,SPOON-13,2,spoon.support.reflect.code.CtForImpl,0,0,255,0,0.0,58,0,0.0,26,0,0.0,26,0,0.0
evosuite-mo,120,SPOON-13,3,spoon.support.reflect.code.CtForImpl,0,0,255,0,0.0,58,0,0.0,26,0,0.0,26,0,0.0
evosuite-mo,120,FASTJSON-19,1,com.alibaba.fastjson.parser.deserializer.DefaultFieldDeserializer,21,1,272,178,65.44,68,47,69.12,44,30,68.18,27,18,66.67
evosuite-mo,120,FASTJSON-19,2,com.alibaba.fastjson.parser.deserializer.DefaultFieldDeserializer,21,1,272,178,65.44,68,47,69.12,44,30,68.18,27,18,66.67
evosuite-mo,120,FASTJSON-19,3,com.alibaba.fastjson.parser.deserializer.DefaultFieldDeserializer,21,1,272,178,65.44,68,47,69.12,44,30,68.18,27,18,66.67
evosuite-mo,120,FASTJSON-49,1,com.alibaba.fastjson.serializer.ArraySerializer,5,1,109,64,58.72,28,21,75.0,14,7,50.0,9,4,44.44
evosuite-mo,120,FASTJSON-49,2,com.alibaba.fastjson.serializer.ArraySerializer,5,1,109,64,58.72,28,21,75.0,14,7,50.0,9,4,44.44
evosuite-mo,120,FASTJSON-49,3,com.alibaba.fastjson.serializer.ArraySerializer,5,1,109,64,58.72,28,21,75.0,14,7,50.0,9,4,44.44
evosuite-mo,120,SPOON-19,1,spoon.reflect.visitor.filter.LineFilter,2,1,66,14,21.21,22,6,27.27,16,2,12.5,10,2,20.0
evosuite-mo,120,SPOON-19,2,spoon.reflect.visitor.filter.LineFilter,2,1,66,14,21.21,22,6,27.27,16,2,12.5,10,2,20.0
evosuite-mo,120,SPOON-19,3,spoon.reflect.visitor.filter.LineFilter,2,1,66,14,21.21,22,6,27.27,16,2,12.5,10,2,20.0
evosuite-mo,120,GUAVA-21,1,com.google.common.base.internal.Finalizer,3,1,233,34,14.59,65,11,16.92,20,2,10.0,18,4,22.22
evosuite-mo,120,GUAVA-21,2,com.google.common.base.internal.Finalizer,3,1,233,34,14.59,65,11,16.92,20,2,10.0,18,4,22.22
evosuite-mo,120,GUAVA-21,3,com.google.common.base.internal.Finalizer,3,1,233,34,14.59,65,11,16.92,20,2,10.0,18,4,22.22
evosuite-mo,120,FASTJSON-85,1,com.alibaba.fastjson.serializer.CharArrayCodec,17,1,120,83,69.17,35,24,68.57,20,14,70.0,14,9,64.29
evosuite-mo,120,FASTJSON-85,2,com.alibaba.fastjson.serializer.CharArrayCodec,17,1,120,83,69.17,35,24,68.57,20,14,70.0,14,9,64.29
evosuite-mo,120,FASTJSON-85,3,com.alibaba.fastjson.serializer.CharArrayCodec,17,1,120,83,69.17,35,24,68.57,20,14,70.0,14,9,64.29
evosuite-mo,120,SEATA-32,1,io.seata.core.protocol.transaction.GlobalBeginResponse,18,1,122,122,100.0,36,36,100.0,12,12,100.0,14,14,100.0
evosuite-mo,120,SEATA-32,2,io.seata.core.protocol.transaction.GlobalBeginResponse,18,1,122,122,100.0,36,36,100.0,12,12,100.0,14,14,100.0
evosuite-mo,120,SEATA-32,3,io.seata.core.protocol.transaction.GlobalBeginResponse,18,1,122,122,100.0,36,36,100.0,12,12,100.0,14,14,100.0
evosuite-mo,120,SPOON-103,1,spoon.support.reflect.code.CtAssignmentImpl,0,0,180,0,0.0,45,0,0.0,18,0,0.0,22,0,0.0
evosuite-mo,120,SPOON-103,2,spoon.support.reflect.code.CtAssignmentImpl,0,0,180,0,0.0,45,0,0.0,18,0,0.0,22,0,0.0
